msgID,fromID,message,toUserID,toGroupID,dateSent
1,gj4,'The weather is great',NULL,4
2,mh25,'I like coffee',llt92,NULL
3,ddr56,'Ayo fam',cw10,NULL
4,ssr36,'What's good?',gp32,NULL
5,kw65,'I love you',NULL,10
6,mmh0,'What's happenin?',NULL,2
7,ap63,'What's goin on?',NULL,3
8,dh9,'I love you',bbh26,NULL
9,ssa61,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',sb15,NULL
10,bbh26,'I like coffee',NULL,8
11,db40,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',mb21,NULL
12,cl75,'What's good?',NULL,1
13,gp32,'Hey what's up?',dc22,NULL
14,ls67,'I like coffee',cw10,NULL
15,bbw62,'What's good?',NULL,4
16,ol89,'I love you',eeh44,NULL
17,sm7,'Hey there cutie! wanna see more ;) add me on snapchat',eg60,NULL
18,eeh44,'What's goin on?',NULL,1
19,rrp18,'What's new?',NULL,5
20,ssr95,'I hate rain and traffic',ol89,NULL
21,ag83,'How have you been?',ls67,NULL
22,sb15,'Hey there cutie! wanna see more ;) add me on snapchat',ccc12,NULL
23,rrr81,'Hey what's up?',NULL,10
24,kkg64,'The weather is great',ccc12,NULL
25,kkb94,'What's goin on?',kkg64,NULL
26,am14,'I love you',NULL,7
27,ppf34,'Hey there cutie! wanna see more ;) add me on snapchat',NULL,5
28,ca57,'What's happenin?',NULL,5
29,eg60,'Hey what's up?',bbh26,NULL
30,ssm6,'I love you',NULL,6
31,br97,'Hey what's up?',ca57,NULL
32,ggj91,'Why do we only ask questions?',if2,NULL
33,sy86,'Hey there cutie! wanna see more ;) add me on snapchat',ssa87,NULL
34,ggc98,'What's new?',bbb52,NULL
35,tp16,'The weather is great',aap78,NULL
36,nnm69,'Hey what's up?',ls67,NULL
37,mb21,'Why do we only ask questions?',NULL,10
38,tg58,'Ayo fam',NULL,10
39,dc22,'Hey there cutie! wanna see more ;) add me on snapchat',cl75,NULL
40,wwb11,'How bout them sports?',mc59,NULL
41,jk88,'What's crackin g?',am14,NULL
42,kkj73,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',ccc12,NULL
43,llm93,'I like coffee',ssa61,NULL
44,kh48,'How have you been?',ggc98,NULL
45,bbb52,'What's new?',dh9,NULL
46,rc53,'Why do we only ask questions?',am14,NULL
47,bbr50,'The weather is great',NULL,8
48,kks24,'Hey what's up?',ggp42,NULL
49,dt72,'What's good?',ssa61,NULL
50,lb45,'What's good?',NULL,5
51,ssm49,'What's goin on?',NULL,10
52,ttd66,'What's crackin g?',ssa87,NULL
53,cw10,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',ssr95,NULL
54,as54,'Why do we only ask questions?',ggp42,NULL
55,aa41,'How have you been?',kn27,NULL
56,rs96,'I like coffee',NULL,5
57,cc33,'I like coffee',ca57,NULL
58,ttw1,'What's goin on?',NULL,4
59,bj74,'What's new?',am14,NULL
60,st85,'Hey what's up?',as54,NULL
61,ssh37,'Hey there cutie! wanna see more ;) add me on snapchat',NULL,9
62,jg43,'What's happenin?',rc53,NULL
63,ec99,'The weather is great',db40,NULL
64,cch79,'I hate rain and traffic',db40,NULL
65,ssa87,'How have you been?',mmm47,NULL
66,hhg19,'The weather is great',NULL,3
67,dr38,'What's happenin?',bbb52,NULL
68,hr17,'Ayo fam',rrp18,NULL
69,eed90,'How have you been?',ssr36,NULL
70,pm71,'How have you been?',nnm69,NULL
71,ggp42,'What's crackin g?',vw29,NULL
72,cj35,'What's crackin g?',ke51,NULL
73,aap78,'Ayo fam',dc22,NULL
74,ob23,'I hate rain and traffic',NULL,9
75,llb39,'What's new?',bbr50,NULL
76,ke51,'What's crackin g?',NULL,7
77,llt92,'I love you',br97,NULL
78,gw68,'Why do we only ask questions?',hr17,NULL
79,lle55,'Hey what's up?',NULL,4
80,yw82,'Ayo fam',ccl46,NULL
81,kn27,'What's new?',NULL,7
82,vw29,'What's happenin?',mh25,NULL
83,ppr5,'What's new?',tg58,NULL
84,hhm76,'Why do we only ask questions?',kh48,NULL
85,ms70,'What's good?',wwb11,NULL
86,ccl46,'What's happenin?',bbh26,NULL
87,mc59,'I like coffee',bbw62,NULL
88,dl84,'What's crackin g?',ssa87,NULL
89,rrs77,'Hey what's up?',rrs77,NULL
90,ccp31,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',rrs77,NULL
91,iit8,'How bout them sports?',ccc12,NULL
92,hp20,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',ccl46,NULL
93,mk13,'What's happenin?',sm7,NULL
94,sw80,'Why do we only ask questions?',mh25,NULL
95,mmm47,'I love you',NULL,5
96,dt30,'What's crackin g?',ssh37,NULL
97,if2,'Hey there cutie! wanna see more ;) add me on snapchat',ap63,NULL
98,eec3,'What's new?',eec3,NULL
99,ccc12,'Hey what's up?',lb45,NULL
100,oow28,'The weather is great',eec3,NULL
101,gj4,'Hey what's up?',ob23,NULL
102,mh25,'Ahhhhhhhhhhhhhhhhhhhhhhhhhhhh',tg58,NULL
103,ddr56,'What's happenin?',oow28,NULL
