bbm0,kkb42,2017-06-12,Who are you?
ssg1,ar51,2017-04-01,Let's be friends
ssy2,iim35,2017-09-02,Let's be friends
kks3,aar37,2017-06-08,Sometimes it feels like I'm living in a simulation
ac4,jjj39,2017-07-10,Let's be friends
se5,cch44,2017-01-07,Want to be my friend?
ddb6,tp97,2017-09-03,Let's be friends
cca7,lr86,2017-07-09,HEY stranger, wanna see more ;) add me on snapchat
ssp8,jb78,2017-05-06,Want to be my friend?
bj9,cch44,2017-06-13,Who are you?
fe10,ar51,2017-06-01,Want to be my friend?
wwj11,ssh63,2017-07-11,HEY stranger, wanna see more ;) add me on snapchat
ew12,jjt66,2017-07-09,Let's be friends
aah13,cch44,2017-03-05,Let's be friends
et14,ddb6,2017-04-11,Want to be my friend?
lj15,hr24,2017-01-02,Hi it's mom, add me so I can stalk your significant other
ddg16,jw32,2017-04-02,Want to be my friend?
wwc17,km62,2017-06-08,Let's be friends
jjw18,aar30,2017-06-08,Let's be friends
mf19,ccs23,2017-02-01,Don't add me the feds are watching
mml20,ssp8,2017-05-05,Want to be my friend?
gg21,ssp79,2017-07-07,Hi it's mom, add me so I can stalk your significant other
sw22,kkb42,2017-07-12,Want to be my friend?
ccs23,tp97,2017-05-12,Want to be my friend?
hr24,rm55,2017-08-12,Let's be friends
mb25,fh91,2017-11-09,You remember me from CS 1555?
ad26,ds49,2017-03-11,Want to be my friend?
or27,gg21,2017-11-11,Rosemary garlic chicken recipes
oof28,or27,2017-03-10,Want to be my friend?
zc29,mb25,2017-08-11,Who are you?
aar30,ar51,2017-10-08,Who are you?
fb31,ddb67,2017-11-12,Want to be my friend?
jw32,ds49,2017-04-11,HEY stranger, wanna see more ;) add me on snapchat
iit33,nns72,2017-02-10,Let's be friends
am34,ds49,2017-08-11,Let's be friends
iim35,da73,2017-03-02,Want to be my friend?
ka36,llh56,2017-04-06,Who are you?
aar37,ssp8,2017-04-07,Want to be my friend?
ssp38,bbs99,2017-09-10,Is this the real life, is this just fantasy
jjj39,km62,2017-02-12,Want to be my friend?
kks40,oot93,2017-03-13,Sometimes it feels like I'm living in a simulation
kkw41,kkk50,2017-09-10,I'm in databases with you
kkb42,ccc87,2017-02-13,Let's be friends
al43,rm55,2017-07-08,Sometimes it feels like I'm living in a simulation
cch44,eer76,2017-09-05,Want to be my friend?
kk45,dc46,2017-04-13,Want to be my friend, fellow human?
dc46,rl81,2017-01-02,Hi it's mom, add me so I can stalk your significant other
kkg47,mmp58,2017-08-01,Want to be my friend?
mw48,ssh63,2017-06-03,Let's be friends
ds49,ssy2,2017-02-01,Let's be friends
kkk50,cch44,2017-06-03,Want to be my friend?
ar51,nns72,2017-06-02,Don't add me the feds are watching
cc52,bbp94,2017-11-02,Let's be friends
gl53,ew12,2017-11-04,Let's be friends
aj54,jw32,2017-01-10,Want to be my friend?
rm55,ssg1,2017-09-09,Let's be friends
llh56,ssp38,2017-11-09,Sometimes it feels like I'm living in a simulation
hhr57,ka36,2017-04-13,Don't add me the feds are watching
mmp58,bbs99,2017-11-07,I remember you from state prison, add me back
cr59,zzd96,2017-08-12,Rosemary garlic chicken recipes
om60,kkb42,2017-08-08,Sometimes it feels like I'm living in a simulation
llr61,fh91,2017-09-02,Is this the real life, is this just fantasy
km62,ew12,2017-07-02,Want to be my friend?
ssh63,al43,2017-08-12,Want to be my friend?
sm64,kks40,2017-07-07,Want to be my friend?
nnt65,kks40,2017-01-11,Want to be my friend?
jjt66,mmc90,2017-01-11,Let's be friends
ddb67,tw80,2017-09-11,Hi it's mom, add me so I can stalk your significant other
bbb68,bbm0,2017-03-01,Who are you?
ssb69,fb31,2017-07-11,Who are you?
hm70,or27,2017-05-11,Sometimes it feels like I'm living in a simulation
eh71,ad26,2017-09-03,Let's be friends
nns72,et14,2017-03-12,I'm in databases with you
da73,ar51,2017-03-07,Rosemary garlic chicken recipes
lh74,hr24,2017-08-04,Want to be my friend?
kc75,hr24,2017-03-04,Want to be my friend?
eer76,om60,2017-08-13,Hi it's mom, add me so I can stalk your significant other
rrp77,fe10,2017-01-10,Want to be my friend?
jb78,se5,2017-01-04,Let's be friends
ssp79,gg21,2017-04-04,Let's be friends
tw80,kkw41,2017-09-02,I'm in databases with you
rl81,rl81,2017-10-09,Let's be friends
mw82,ddb67,2017-10-07,Want to be my friend?
llm83,zzd96,2017-10-10,Let's be friends
bg84,ddb6,2017-09-02,Want to be my friend, fellow human?
mmg85,kkg47,2017-06-12,You remember me from CS 1555?
lr86,hr24,2017-06-02,Is this the real life, is this just fantasy
ccc87,tw80,2017-04-01,Sometimes it feels like I'm living in a simulation
