1,Pittsburgh Free & For Sale,For housing cars & bikes and so much more
2,Yoga Addicts,If Yoga is destroying your chances at job interviews you know you need to stop
3,Surreal Memes for Nihlistic Teens,Come eat ur memes
4,Skateboarders are Us,Shred the gnar
5,Unethical Pro Tips,Muah hahahahaha
6,Queen Bey,BeYoNcE iS the QUEEEEEEN
7,CS 1555 Cheaters,This community dedicated to creating an AI that does our homework for us
8,Web Comics,Stolen any cool original content lately? Act like you drew it here
9,Harry Potter Addicts,For when Quidditch starts tearing apart your family
10,Netflix Reviews,For when there's nothing to watch
